,FileName_OrigRNA,Metadata_ChannelID,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_AbsPositionZ,Metadata_PositionX,Metadata_PositionY,Metadata_PositionZ,Metadata_Row,Metadata_target,Metadata_experiment_type,Metadata_cell_line,Metadata_pert_iname,Metadata_gene,Metadata_pubchem_cid
0,r01c01f01p01-ch3sk1fk1fl1.tiff,5,BR00116991,A01,1,0.134679005,-0.000322907,0.000322907,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0
1,r01c01f02p01-ch3sk1fk1fl1.tiff,5,BR00116991,A01,2,0.134678707,-0.000968721,0.000968721,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0
2,r01c01f03p01-ch3sk1fk1fl1.tiff,5,BR00116991,A01,3,0.134673402,0.000322907,0.000968721,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0
3,r01c01f04p01-ch3sk1fk1fl1.tiff,5,BR00116991,A01,4,0.134673506,0.000968721,0.000322907,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0
4,r01c01f05p01-ch3sk1fk1fl1.tiff,5,BR00116991,A01,5,0.134681493,-0.000968721,-0.000322907,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0
5,r01c01f06p01-ch3sk1fk1fl1.tiff,5,BR00116991,A01,6,0.134677097,0.000322907,-0.000322907,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0
6,r01c01f07p01-ch3sk1fk1fl1.tiff,5,BR00116991,A01,7,0.134674296,0.000968721,-0.000968721,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0
7,r01c01f08p01-ch3sk1fk1fl1.tiff,5,BR00116991,A01,8,0.134680197,-0.000322907,-0.000968721,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0
8,r01c01f09p01-ch3sk1fk1fl1.tiff,5,BR00116991,A01,9,0.134681493,-0.000968721,-0.000968721,-2e-06,1,CACNB4,Compound,A549,gabapentin-enacarbil,,9883933.0
9,r01c02f01p01-ch3sk1fk1fl1.tiff,5,BR00116991,A02,1,0.134649098,-0.000322907,0.000322907,-2e-06,1,,Compound,A549,DMSO,,
10,r01c02f02p01-ch3sk1fk1fl1.tiff,5,BR00116991,A02,2,0.134654194,-0.000968721,0.000968721,-2e-06,1,,Compound,A549,DMSO,,
11,r01c02f03p01-ch3sk1fk1fl1.tiff,5,BR00116991,A02,3,0.134642303,0.000322907,0.000968721,-2e-06,1,,Compound,A549,DMSO,,
12,r01c02f04p01-ch3sk1fk1fl1.tiff,5,BR00116991,A02,4,0.134642407,0.000968721,0.000322907,-2e-06,1,,Compound,A549,DMSO,,
13,r01c02f05p01-ch3sk1fk1fl1.tiff,5,BR00116991,A02,5,0.134655207,-0.000968721,-0.000322907,-2e-06,1,,Compound,A549,DMSO,,
14,r01c02f06p01-ch3sk1fk1fl1.tiff,5,BR00116991,A02,6,0.134646297,0.000322907,-0.000322907,-2e-06,1,,Compound,A549,DMSO,,
15,r01c02f07p01-ch3sk1fk1fl1.tiff,5,BR00116991,A02,7,0.134643599,0.000968721,-0.000968721,-2e-06,1,,Compound,A549,DMSO,,
16,r01c02f08p01-ch3sk1fk1fl1.tiff,5,BR00116991,A02,8,0.134652898,-0.000322907,-0.000968721,-2e-06,1,,Compound,A549,DMSO,,
17,r01c02f09p01-ch3sk1fk1fl1.tiff,5,BR00116991,A02,9,0.134656101,-0.000968721,-0.000968721,-2e-06,1,,Compound,A549,DMSO,,
18,r01c03f01p01-ch3sk1fk1fl1.tiff,5,BR00116991,A03,1,0.134623706,-0.000322907,0.000322907,-2e-06,1,CACNA2D3,Compound,A549,amlodipine,,2162.0
19,r01c03f02p01-ch3sk1fk1fl1.tiff,5,BR00116991,A03,2,0.134627104,-0.000968721,0.000968721,-2e-06,1,CACNA2D3,Compound,A549,amlodipine,,2162.0
20,r01c03f03p01-ch3sk1fk1fl1.tiff,5,BR00116991,A03,3,0.134617805,0.000322907,0.000968721,-2e-06,1,CACNA2D3,Compound,A549,amlodipine,,2162.0
21,r01c03f04p01-ch3sk1fk1fl1.tiff,5,BR00116991,A03,4,0.134616196,0.000968721,0.000322907,-2e-06,1,CACNA2D3,Compound,A549,amlodipine,,2162.0
22,r01c03f05p01-ch3sk1fk1fl1.tiff,5,BR00116991,A03,5,0.134627804,-0.000968721,-0.000322907,-2e-06,1,CACNA2D3,Compound,A549,amlodipine,,2162.0
23,r01c03f06p01-ch3sk1fk1fl1.tiff,5,BR00116991,A03,6,0.134619996,0.000322907,-0.000322907,-2e-06,1,CACNA2D3,Compound,A549,amlodipine,,2162.0
24,r01c03f07p01-ch3sk1fk1fl1.tiff,5,BR00116991,A03,7,0.134615093,0.000968721,-0.000968721,-2e-06,1,CACNA2D3,Compound,A549,amlodipine,,2162.0
25,r01c03f08p01-ch3sk1fk1fl1.tiff,5,BR00116991,A03,8,0.134624302,-0.000322907,-0.000968721,-2e-06,1,CACNA2D3,Compound,A549,amlodipine,,2162.0
26,r01c03f09p01-ch3sk1fk1fl1.tiff,5,BR00116991,A03,9,0.1346277,-0.000968721,-0.000968721,-2e-06,1,CACNA2D3,Compound,A549,amlodipine,,2162.0
27,r01c04f01p01-ch3sk1fk1fl1.tiff,5,BR00116991,A04,1,0.134598807,-0.000322907,0.000322907,-2e-06,1,AKR1C1,Compound,A549,hexestrol,,3606.0
